ID,YearBuilt,Age,ConcreteType,DesignType,Rated_Load_Capacity,SlabThickness,Bear_Surface_Area,No_Of_Beams,Length,Width,Height,MinimumTemperature,AverageTemperature,MaximumTemperature,MinimumRelativeHumidity,AverageRelativeHumidity,MaximumRelativeHumidity,AverageWindSpeed,MinimumNO2,AverageNO2,MaximumNO2,MinimumSO2,AverageSO2,MaximumSO2,MinimumCO,AverageCO,MaximumCO,MinimumCO2,AverageCO2,MaximumCO2,MinimumRain,AverageRain,MaximumRain,MinimumWaterLevel,AverageWaterLevel,MaximumWaterLevel,MinimumTrafficVolume,AverageTrafficVolume,MaximumTrafficVolume,SpeedLimit,No_of_Maintenance,No_Of_Vehicle_Passed,AverageTimeGapInMaintenance,Crack_Surface_Area,Durability,RemainingLifeSpan,MaintenanceRequired
22,1952,73,Normal,Truss,20.34574456,0.285690091,71.52541742,16,712.8624598,42.45375002,87.69772388,7.977728808,18.38213469,45.96696683,16.47137622,55.31444937,94.65025085,3.440479807,9.972563611,45.26998718,58.70672876,8.591526009,21.68893526,32.87015787,0.620837096,4.576338954,7.287526187,313.8787804,407.7432157,593.9117873,9.899641225,41.38818043,86.28635196,0.877759699,1.346148388,6.34358859,662,2856,8385,36,15,6858186,2.286420792,6.421566966,77.97655358,34.01216526,No
23,1901,124,High-Strength,Suspension,17.62247904,0.808168902,199.776733,19,904.5666588,33.88275504,7.104270519,-6.753293547,9.526933786,20.51269655,14.52458091,67.08213183,90.52705692,19.04889378,3.856672658,32.53302954,60.12714055,5.64136686,10.20246648,30.54848229,0.398287549,1.317813068,7.66134548,304.2774086,368.7620498,531.7648306,8.113472619,25.6339207,114.2932138,0.517026569,4.376333586,5.645525413,100,3289,5258,111,13,1484051,3.770724262,6.855572398,92.81030365,83.25798369,Yes
24,1987,38,High-Strength,Suspension,85.67503218,0.771209235,195.8532051,2,149.4265888,7.942838933,17.96291159,6.213636819,18.5409706,41.31007904,14.61580471,51.08947512,92.76483801,2.81245481,14.328703,23.6109532,72.81133384,0.1000237,18.51552185,30.9639277,0.950424591,3.638187441,7.972230825,342.23445,357.8944119,567.4894037,1.833384148,39.17763036,151.6826903,0.570786853,4.971476001,8.54617944,880,2024,5117,114,17,6304610,9.256285521,9.917945262,99.67735583,61.43439691,No
25,2007,18,High-Strength,Suspension,48.43142348,0.393425862,178.1864335,5,266.6479341,49.59375668,21.21447461,-7.421391954,17.61134263,48.65635951,18.02094713,59.27577771,74.3654278,12.10636564,2.34120001,35.28276092,76.00493649,5.840757491,15.97232865,38.41137523,0.927315499,1.333064153,8.500803147,329.1294008,350.5002428,547.0290398,7.714565925,44.80115702,99.58795998,0.647854825,1.939662135,9.923779926,957,2621,6161,89,4,1683156,5.511341307,2.161655566,59.12719192,57.11959653,Yes
26,1929,96,Normal,Beam,50.62260477,0.266617335,86.87945065,12,259.7762799,21.02411656,10.97373276,-21.78416722,5.48526752,42.57087863,12.41819699,62.49998422,73.39825612,15.80360344,13.33496216,35.6880461,65.06057415,4.201584826,23.25848859,59.39839756,0.406543588,4.184045664,5.8605481,349.0230529,442.4796667,512.4922669,5.277173371,49.44587606,178.0009904,0.442741013,4.232237245,7.375219314,990,2803,8172,55,13,4192075,8.610961529,7.548791186,54.84777579,8.878220366,Yes
27,1937,88,Self-Consolidating,Truss,86.3013781,0.873466757,169.1464197,11,784.5647893,22.12151862,64.99091199,-7.425132912,29.10856583,34.72606422,33.942811,65.43447947,86.78857255,9.774137252,12.60550387,31.31454892,70.95780317,5.957346787,27.30509514,37.91183321,0.361102286,1.596229064,9.931999288,326.2436514,429.0301261,468.775848,2.760890318,46.58745797,134.4170036,0.152147968,2.690968717,9.776485597,337,3492,9767,109,6,3789579,3.016769734,8.747147097,78.25008878,31.19186369,Yes
28,1901,124,Normal,Suspension,65.92878632,0.399544034,63.84470861,14,526.1312117,8.813810179,26.81198677,-25.98222356,10.03517814,22.46781917,18.20689182,41.2508215,80.22115562,14.57604841,9.405930633,42.83463402,78.55008854,7.076327223,28.20910315,54.43160707,0.980755249,2.561757953,7.532543624,318.2418113,431.1285734,567.5114594,3.61912415,46.19783457,162.4439729,0.919304327,1.346657613,6.157068988,558,2445,6251,93,15,1255071,1.586221745,3.858883998,69.01678216,90.73264974,Yes
29,1963,62,Self-Consolidating,Arch,26.14665168,0.316448096,58.40338744,11,260.1490322,12.52029567,59.78363428,-25.31764422,27.37092837,20.91616047,10.45010391,55.13453516,95.80029671,11.48037599,12.37496565,24.94355139,68.55810804,6.38680344,14.80817094,43.72607702,0.829095161,1.311125751,7.271746034,323.6185097,377.4618404,589.7513829,6.303753178,12.94647201,179.1067011,0.680970867,1.470682929,5.017069462,654,1963,7629,64,9,5538947,5.020449951,5.2949734,52.84705037,77.84316026,No
30,1959,66,High-Strength,Arch,28.99119061,0.487229282,113.8231551,19,145.0628704,17.20291071,79.34815934,-25.37339313,14.57698495,26.24672131,33.91297543,66.92481541,76.7364515,19.96529115,13.41068713,49.08977338,98.27840777,9.50763896,18.7984049,49.70588916,0.458797702,1.036409879,7.672894756,310.1807315,413.336626,489.7844443,8.37356548,27.29593201,98.56215941,0.174808704,3.937009923,9.231861785,981,4549,6463,114,10,4206108,6.077055452,0.20494128,53.76764835,54.89837962,No
31,1920,105,Self-Consolidating,Arch,10.57394521,0.520706259,173.4499497,10,894.0861713,40.96410663,43.81020686,-29.50989035,8.959401818,38.36819123,27.57744011,48.80191076,90.00018763,1.590005958,11.37792685,46.93119693,96.80846838,5.61684086,27.59923686,49.0684665,0.654884516,4.803301019,5.480099184,309.3194516,425.8144465,482.2376821,0.752560307,30.49554203,150.2595456,0.7905474,2.572786091,9.892336303,612,2188,6013,87,4,2200175,2.576495422,5.36035352,79.61259791,16.98226354,Yes
32,1932,93,High-Strength,Cable-Stayed,73.96030845,0.460870384,28.51990972,10,695.2077563,36.12869635,78.04077606,-23.94853117,7.669611917,33.62592289,10.95375199,42.23064567,77.31717692,4.63342164,1.787477232,41.85422359,67.78096055,4.477741875,19.42680003,37.46424777,0.312364933,1.819843315,5.962024513,336.7296398,400.9073102,468.058983,0.872286624,42.16722832,113.1409161,0.648299861,1.644100811,6.340614173,495,3122,8196,57,9,5739549,1.530979816,6.1986056,90.58622454,6.99014695,Yes
33,1975,50,High-Strength,Truss,53.70504926,0.98118489,117.4081186,13,533.2397417,31.26419734,78.89751231,-15.88084473,17.76699873,38.05493512,16.75954436,51.1461567,75.06993609,11.42840584,1.368275623,26.47125316,88.10031136,3.314038834,12.82910773,48.4511682,0.960082799,1.328044274,8.655026702,306.7000727,432.7597122,590.6187105,9.669908332,23.25355029,193.6711276,0.375746912,4.424169835,8.742249105,782,1958,9180,71,18,1031091,4.185663673,9.675283115,62.57487076,36.52775061,Yes
34,1957,68,Self-Consolidating,Beam,95.49675216,0.904656535,125.8502878,15,965.8161588,43.87519465,30.02519125,-27.11534848,14.0461885,22.57346464,19.67639504,61.46303379,75.80562349,10.23660483,19.72911554,37.90992809,61.66202785,1.850958322,19.54826424,56.6990543,0.364202065,1.367827872,9.692854751,324.8266803,376.1270161,579.473782,6.580127852,32.30638473,138.3601234,0.236887605,1.278113769,7.378837574,282,4140,7405,54,13,6098944,9.960502974,5.739844594,69.32427781,89.3327594,Yes
35,1921,104,High-Strength,Beam,74.26115211,0.898380397,120.1615745,3,851.0950402,49.90123355,6.495736753,-29.7534851,27.93768777,44.83282061,38.15024391,69.30452244,78.66233538,1.870538802,16.37989284,37.66785134,87.21761333,6.469253422,22.22747708,35.09852444,0.14116588,4.073432027,9.702704423,334.5424055,414.2214817,452.6725987,1.187565474,20.50035853,67.96730142,0.168842166,3.77398151,6.116435015,674,1821,9830,63,16,6050432,4.868599623,7.430935824,96.58117437,50.37548938,Yes
36,2024,1,Self-Consolidating,Truss,19.28373947,0.519014072,51.51448207,11,186.340162,22.31485062,14.81177605,-25.50912717,10.03603737,40.371914,22.78755431,56.89918876,94.68127458,10.96150798,7.62665203,30.53525912,86.07529889,5.509814233,26.99922396,38.75927229,0.872029084,3.438546755,8.965327319,339.7046062,422.8006644,472.3183515,8.829398385,28.74222795,75.86589683,0.653501961,4.824079905,5.813983494,525,1789,7744,40,13,9713599,7.268008248,1.507889297,74.23961524,77.892341,No
37,2007,18,High-Strength,Cable-Stayed,24.53873139,0.970295712,22.1845375,19,513.0492878,22.60505426,83.23475532,7.442321273,23.0911332,39.13227633,30.72915965,67.92516406,99.9180678,2.183027961,15.2524716,33.67129572,60.85976477,6.047906894,14.33410802,44.4826576,0.587046244,3.600731212,7.190608315,313.0889405,388.7009814,530.9411081,6.293114282,29.31992401,89.35471719,0.289607547,1.638293729,5.140728663,432,2414,7254,57,9,1751397,2.130338787,9.52874875,82.07645714,19.68803082,No
38,1988,37,Normal,Truss,55.15521821,0.747212237,180.0484567,7,491.2178651,38.1240219,43.50419493,-8.974491401,9.644773674,25.18130728,33.3042722,68.05986958,85.59326475,13.82110754,0.000524839,24.93797281,87.49248254,9.205014357,29.10358897,50.76638128,0.723616021,4.34275029,9.491976424,346.399462,367.2794765,452.0646769,1.051746042,18.52057765,151.2980815,0.82148022,2.128970085,8.537641362,347,4461,5114,95,10,6664613,8.741338326,7.53134696,93.98093247,16.17986745,No
39,1948,77,Normal,Cable-Stayed,93.23867518,0.865595735,119.157357,3,845.8435567,33.99569725,84.71412153,-12.59905634,26.79265669,36.38098317,25.70340038,64.44830749,73.6731284,13.04431201,9.948927003,28.12839464,50.85481437,8.751653488,25.55982002,39.76905116,0.889773388,2.161530257,8.494388801,336.0299299,420.8180154,540.2903427,8.558962993,11.97235629,77.45182407,0.291740513,3.573655049,6.453488491,407,3076,5604,66,2,463930,3.11958415,3.896187212,80.06763789,59.65553867,No
40,1990,35,High-Strength,Suspension,32.25259809,0.6007001,155.9018423,18,157.5971907,5.602705156,57.01386043,-10.51370863,17.76139036,27.66447337,13.0283836,53.34884569,93.86427223,1.329982267,0.012854358,28.05129029,85.12127593,3.316973099,15.39677875,39.3021395,0.76086161,4.845541578,6.471653433,338.067951,411.5834805,515.6320202,5.333837743,35.0387377,56.49639451,0.848319754,1.452816474,5.077394938,930,4296,6338,113,3,3490728,7.020394244,0.990329172,68.89893174,65.92816586,Yes
41,1958,67,High-Strength,Suspension,84.30221817,0.328493835,79.24303025,19,457.2683751,34.49422871,23.75256183,-7.807657689,25.78007046,47.97505481,38.03183125,61.91091015,73.59566413,9.331713898,9.172888555,24.99112867,56.28681049,1.079279356,29.55419727,53.54938314,0.638073733,1.018074872,5.341406058,307.5531356,416.281205,517.430111,3.815625196,15.9731551,165.8229023,0.181542689,4.583985793,5.958997026,591,4694,9478,56,10,9439585,7.646039299,9.207921765,52.00015675,73.06956531,No
42,1941,84,Self-Consolidating,Cable-Stayed,38.10451781,0.909508404,18.0754313,19,640.1751478,37.38237755,72.66253942,-25.68675338,15.93778943,34.00266033,23.49690181,67.57275684,77.39069625,14.22308428,14.73659532,27.76141268,69.42425446,3.881436709,28.83071241,55.60965802,0.440059698,4.313002451,5.841947987,328.4024741,379.8753354,514.1056123,4.100396453,31.70689193,195.8709946,0.595360771,2.137506496,5.892694778,728,2407,5230,71,8,1047403,3.390540288,4.094310265,57.05788661,0.101849318,No
43,1991,34,Normal,Truss,34.29074706,0.589141391,59.31740875,15,945.8020685,49.36714664,58.02770255,-6.609739403,9.381251422,29.22473096,15.11193655,65.54101263,98.58521118,16.01374574,10.78892157,39.55568507,58.90062131,5.871707578,24.83772768,40.47997362,0.816707861,3.737514975,5.575242184,311.8134848,356.2051129,453.4867195,7.222361277,25.7822221,52.92675257,0.326306958,2.938012319,5.18567773,846,4971,5281,102,3,4527346,7.109723999,5.387582955,90.07645638,80.93987205,Yes
44,1959,66,Self-Consolidating,Suspension,91.12534744,0.974843927,23.93947528,12,900.2722856,31.40469512,38.42149515,3.368935009,18.48326297,48.52033294,33.04830392,56.91847792,76.44382584,0.72849009,6.298693004,43.85460912,58.67457025,2.761711537,21.17005435,36.6743106,0.166907105,3.773679001,9.566926375,313.1635063,398.9031326,555.1531483,0.38646997,11.3623679,54.88676208,0.713299977,1.566270579,6.601252146,665,4094,8076,42,0,1629898,5.083617245,9.351331927,84.79589949,22.01107193,No
45,1979,46,High-Strength,Truss,14.25174329,0.403888809,24.86583759,17,538.5093911,35.7988015,13.33311457,-7.57418752,11.81374726,26.17090979,36.45788403,66.47301647,87.070468,9.347261547,15.62376443,49.17829922,73.45952635,2.991768577,28.42388942,54.50492648,0.93107617,1.652232516,6.721453748,330.6206511,366.9735946,463.5667136,1.79237981,36.48531043,170.523486,0.31081899,2.395840641,6.232430105,634,1387,5856,38,15,4733571,2.853192249,5.713711248,97.02769242,10.92598837,No
46,1914,111,High-Strength,Suspension,69.46669349,0.993903193,50.74727552,9,610.6535827,40.49364674,14.71834383,5.321906234,9.615511625,34.78796515,31.97335909,65.21578136,97.14721067,19.75241443,15.1287281,27.4918605,96.90039391,7.908117852,18.8487425,50.17678813,0.678133152,2.941456223,6.686923527,327.9791773,360.020578,480.116425,3.816428267,26.58002592,93.36258737,0.390086874,4.32297221,5.554136634,737,1285,9032,46,16,8921985,2.684834029,8.844697487,67.07430823,83.93430809,Yes
47,1961,64,Self-Consolidating,Truss,13.88507629,0.377939746,130.3798455,19,853.8773297,9.318182926,22.90860334,-24.47079157,27.59454726,25.12518311,23.38652805,43.87132153,91.34945612,7.675102165,16.21286066,20.43201892,77.18580165,7.330578904,18.51466877,42.24014033,0.356279442,4.611109876,6.663340171,338.3960713,372.0976337,470.4897531,9.865593881,16.4494872,173.7196944,0.594335663,2.229983731,8.041463815,539,1835,7696,45,13,2652150,8.487680776,5.511931217,56.65895298,55.93318018,Yes
48,1961,64,High-Strength,Truss,82.06874079,0.494533406,165.3764746,4,746.9443826,38.05934792,68.92845633,3.035453547,18.78602691,22.82926899,39.50577355,48.46627202,93.12747313,10.68244244,11.8899979,34.92108402,63.42768187,6.953477023,17.54854024,57.50850611,0.923709429,4.74303548,6.067592906,304.168067,393.6261659,526.317047,1.31499976,36.93440535,136.010181,0.849660162,1.611258136,9.534570139,371,2179,5313,67,3,7899654,6.779025253,1.582474793,60.98090016,32.4805214,Yes
49,1946,79,Normal,Arch,84.64639195,0.675213218,166.0578359,5,880.542253,29.60895713,74.1572851,-3.495427795,25.00780476,21.55778783,13.00078299,65.23001428,77.49140298,5.984221376,14.70061301,48.69554749,94.20744319,4.580763165,26.49148178,57.85567898,0.681966604,3.023657321,9.80668821,319.8833179,391.1722769,531.5102014,0.399786433,35.48120218,159.4485778,0.856470823,3.904096633,8.774653748,534,4509,9951,72,12,1606518,2.226118634,6.999810514,98.84745249,20.17152788,Yes
50,1961,64,Self-Consolidating,Cable-Stayed,90.40209172,0.754658447,188.1737405,6,896.9713082,9.503401232,64.93700601,-5.853118846,24.39924705,20.47129488,14.40688376,62.94876803,95.12544336,1.101362621,16.48367852,38.78635516,68.56947363,4.450568788,13.11262505,52.17927386,0.273035618,3.611436822,7.111871966,345.5015204,434.8889018,497.2506512,2.189746772,42.92182155,58.87364558,0.01056055,3.028491924,6.018260059,977,4267,8860,65,10,8694968,5.387669409,0.216296857,61.47945581,7.580030212,Yes
51,1950,75,Normal,Beam,26.74810554,0.776225735,134.7125034,5,834.2601598,35.14463794,37.04049683,-6.449066948,5.02689385,41.28286439,18.25007461,51.50555747,79.1266722,18.07189553,8.117793209,49.23207017,52.43564689,0.138959995,11.35422671,58.07304695,0.524256938,3.456357757,9.569017266,305.4331319,365.4849283,475.4183991,0.86236226,33.77110426,155.9333838,0.859101494,4.734028772,7.367445084,115,4288,5282,35,15,8861608,5.558414767,7.0353975,58.51099884,93.1212089,Yes
52,2007,18,Normal,Cable-Stayed,21.20483403,0.581001927,13.7735789,8,19.28442779,15.55269236,46.8446541,-25.24215705,27.14682365,31.63642831,13.96837782,55.83242189,85.2476986,12.62844887,9.687566669,41.21909705,87.03916755,4.888618584,16.14111788,40.61143417,0.337106254,4.01816576,8.026185131,328.9703875,360.3454404,573.5440055,7.792391101,13.68321811,114.4229244,0.661946332,2.696800133,5.508926573,263,2015,8706,42,16,2407030,8.334485648,0.631505521,78.64857352,90.3246046,Yes
